instance,goal,result,duration
exp_acyclic_indvary1_step4_batch_yyy10.pl,e1,y,1.86
exp_acyclic_indvary1_step4_batch_yyy10.pl,t2,n,1.44
exp_acyclic_indvary1_step4_batch_yyy10.pl,f2,n,1.71
exp_acyclic_indvary1_step4_batch_yyy10.pl,z2,n,1.68
exp_acyclic_indvary1_step4_batch_yyy10.pl,z1,n,1.70
exp_acyclic_indvary1_step4_batch_yyy10.pl,a3,n,1.77
exp_acyclic_indvary1_step4_batch_yyy10.pl,r3,y,1.65
exp_cycles_indvary1_step7_batch_yyy08.pl,s1,n,1.38
exp_cycles_indvary1_step7_batch_yyy08.pl,q2,n,1.40
exp_cycles_indvary1_step7_batch_yyy08.pl,t3,n,1.35
exp_cycles_indvary1_step7_batch_yyy08.pl,c3,n,1.68
exp_cycles_indvary1_step7_batch_yyy08.pl,e1,y,1.31
exp_cycles_indvary1_step7_batch_yyy08.pl,u1,n,1.41
exp_cycles_indvary1_step7_batch_yyy08.pl,p5,n,1.38
exp_cycles_indvary1_step7_batch_yyy08.pl,y1,n,1.36
exp_cycles_indvary1_step7_batch_yyy08.pl,p1,n,1.32
exp_cycles_indvary1_step7_batch_yyy08.pl,a2,n,1.65
exp_cycles_indvary2_step2_batch_yyy04.pl,d2,y,1.68
exp_cycles_indvary2_step2_batch_yyy04.pl,a2,y,1.74
exp_cycles_indvary2_step2_batch_yyy04.pl,e2,n,1.99
exp_cycles_indvary2_step2_batch_yyy04.pl,c1,y,1.93
exp_cycles_indvary2_step2_batch_yyy04.pl,y1,y,1.67
exp_cycles_indvary2_step2_batch_yyy04.pl,q1,y,1.88
exp_cycles_indvary2_step2_batch_yyy04.pl,a1,y,1.44
exp_cycles_indvary2_step2_batch_yyy04.pl,s2,y,1.84
exp_cycles_indvary2_step2_batch_yyy04.pl,f2,n,2.02
exp_cycles_indvary2_step2_batch_yyy04.pl,x1,y,2.07
exp_acyclic_indvary3_step7_batch_yyy04.pl,v2,n,1.66
exp_acyclic_indvary3_step7_batch_yyy04.pl,p1,n,1.40
exp_acyclic_indvary3_step7_batch_yyy04.pl,u1,n,1.41
exp_acyclic_indvary3_step7_batch_yyy04.pl,t1,n,1.38
exp_acyclic_indvary3_step7_batch_yyy04.pl,b1,y,1.35
exp_acyclic_indvary3_step7_batch_yyy04.pl,x3,n,1.61
exp_acyclic_indvary3_step7_batch_yyy04.pl,t2,n,1.45
exp_acyclic_indvary3_step7_batch_yyy04.pl,c2,y,1.57
exp_acyclic_indvary3_step7_batch_yyy04.pl,p4,n,1.44
exp_acyclic_indvary3_step7_batch_yyy04.pl,z3,n,1.53
exp_acyclic_indvary3_step3_batch_yyy04.pl,p2,n,1.52
exp_acyclic_indvary3_step3_batch_yyy04.pl,r3,n,5.86
exp_acyclic_indvary3_step3_batch_yyy04.pl,c1,y,1.57
exp_acyclic_indvary3_step3_batch_yyy04.pl,r1,n,1.43
exp_acyclic_indvary3_step3_batch_yyy04.pl,z1,n,1.45
exp_acyclic_indvary3_step3_batch_yyy04.pl,t1,n,4.23
exp_acyclic_indvary3_step3_batch_yyy04.pl,u3,n,5.80
exp_acyclic_indvary3_step3_batch_yyy04.pl,y3,n,2.14
exp_acyclic_indvary3_step3_batch_yyy04.pl,z3,n,1.47
exp_acyclic_indvary3_step3_batch_yyy04.pl,w3,n,1.29
exp_acyclic_indvary2_step7_batch_yyy08.pl,u2,y,2.44
exp_acyclic_indvary2_step7_batch_yyy08.pl,a3,y,1.59
exp_acyclic_indvary2_step7_batch_yyy08.pl,w1,y,2.09
exp_acyclic_indvary2_step7_batch_yyy08.pl,c2,n,2.73
exp_acyclic_indvary2_step7_batch_yyy08.pl,a1,n,2.74
exp_acyclic_indvary2_step7_batch_yyy08.pl,e1,n,3.02
exp_acyclic_indvary2_step7_batch_yyy08.pl,a2,y,2.61
exp_acyclic_indvary2_step7_batch_yyy08.pl,p1,y,2.09
exp_acyclic_indvary2_step7_batch_yyy08.pl,r3,y,1.99
exp_acyclic_indvary2_step7_batch_yyy08.pl,s1,y,2.39
exp_acyclic_indvary2_step1_batch_yyy10.pl,f2,y,1.95
exp_acyclic_indvary2_step1_batch_yyy10.pl,t1,y,1.97
exp_acyclic_indvary2_step1_batch_yyy10.pl,a1,y,1.53
exp_acyclic_indvary2_step1_batch_yyy10.pl,b1,y,1.60
exp_acyclic_indvary2_step1_batch_yyy10.pl,q3,y,1.63
exp_acyclic_indvary2_step1_batch_yyy10.pl,a2,y,1.68
exp_acyclic_indvary2_step1_batch_yyy10.pl,v1,y,1.86
exp_acyclic_indvary2_step1_batch_yyy10.pl,v2,y,1.86
exp_acyclic_indvary2_step1_batch_yyy10.pl,b2,n,1.79
exp_acyclic_indvary2_step1_batch_yyy10.pl,r2,y,1.64
exp_acyclic_indvary3_step4_batch_yyy07.pl,t1,n,1.65
exp_acyclic_indvary3_step4_batch_yyy07.pl,c2,y,1.63
exp_acyclic_indvary3_step4_batch_yyy07.pl,y1,n,1.66
exp_acyclic_indvary3_step4_batch_yyy07.pl,f2,y,1.65
exp_acyclic_indvary3_step4_batch_yyy07.pl,a2,n,1.55
exp_acyclic_indvary3_step4_batch_yyy07.pl,f1,y,1.53
exp_acyclic_indvary3_step4_batch_yyy07.pl,u3,n,1.53
exp_acyclic_indvary3_step4_batch_yyy07.pl,y3,n,1.58
exp_acyclic_indvary3_step4_batch_yyy07.pl,e1,y,1.66
exp_acyclic_indvary3_step4_batch_yyy07.pl,t3,n,1.75
exp_acyclic_indvary2_step6_batch_yyy06.pl,e1,n,2.51
exp_acyclic_indvary2_step6_batch_yyy06.pl,r2,n,1.45
exp_acyclic_indvary2_step6_batch_yyy06.pl,p1,n,1.27
exp_acyclic_indvary2_step6_batch_yyy06.pl,t1,n,1.43
exp_acyclic_indvary2_step6_batch_yyy06.pl,c3,y,1.89
exp_acyclic_indvary2_step6_batch_yyy06.pl,s1,y,1.76
exp_acyclic_indvary2_step6_batch_yyy06.pl,v1,y,1.17
exp_acyclic_indvary2_step6_batch_yyy06.pl,r3,y,1.39
exp_acyclic_indvary2_step6_batch_yyy06.pl,b1,n,1.55
exp_acyclic_indvary2_step6_batch_yyy06.pl,z1,y,1.32
exp_cycles_indvary1_step3_batch_yyy07.pl,f2,n,0.93
exp_cycles_indvary1_step3_batch_yyy07.pl,b2,n,0.93
exp_cycles_indvary1_step3_batch_yyy07.pl,s1,y,0.93
exp_cycles_indvary1_step3_batch_yyy07.pl,x1,y,0.88
exp_cycles_indvary1_step3_batch_yyy07.pl,q3,y,0.89
exp_cycles_indvary1_step3_batch_yyy07.pl,r3,y,0.98
exp_cycles_indvary1_step3_batch_yyy07.pl,u1,y,0.92
exp_cycles_indvary1_step3_batch_yyy07.pl,t2,y,0.95
exp_cycles_indvary1_step3_batch_yyy07.pl,r2,n,0.95
exp_cycles_indvary1_step3_batch_yyy07.pl,e1,y,0.87
exp_cycles_indvary1_step4_batch_yyy05.pl,y3,y,0.85
exp_cycles_indvary1_step4_batch_yyy05.pl,s2,n,0.91
exp_cycles_indvary1_step4_batch_yyy05.pl,b1,y,0.84
exp_cycles_indvary1_step4_batch_yyy05.pl,s1,n,0.81
exp_cycles_indvary1_step4_batch_yyy05.pl,t1,y,0.98
exp_cycles_indvary1_step4_batch_yyy05.pl,r3,y,0.89
exp_cycles_indvary1_step4_batch_yyy05.pl,c2,y,0.82
exp_cycles_indvary1_step4_batch_yyy05.pl,b2,n,0.93
exp_cycles_indvary1_step4_batch_yyy05.pl,a1,y,0.99
exp_cycles_indvary1_step4_batch_yyy05.pl,q4,n,0.74
exp_acyclic_indvary2_step5_batch_yyy08.pl,w1,y,1.07
exp_acyclic_indvary2_step5_batch_yyy08.pl,z2,y,1.38
exp_acyclic_indvary2_step5_batch_yyy08.pl,s1,n,0.90
exp_acyclic_indvary2_step5_batch_yyy08.pl,v1,y,1.21
exp_acyclic_indvary2_step5_batch_yyy08.pl,b1,n,1.35
exp_acyclic_indvary2_step5_batch_yyy08.pl,b3,n,1.38
exp_acyclic_indvary2_step5_batch_yyy08.pl,p2,y,1.12
exp_acyclic_indvary2_step5_batch_yyy08.pl,y2,y,1.21
exp_acyclic_indvary2_step5_batch_yyy08.pl,r3,y,1.22
exp_acyclic_indvary2_step5_batch_yyy08.pl,f1,y,1.01
exp_acyclic_depvary_step10_batch_yyy06.pl,p3,y,1.34
exp_acyclic_depvary_step10_batch_yyy06.pl,a1,n,1.37
exp_acyclic_depvary_step10_batch_yyy06.pl,a3,n,1.62
exp_acyclic_depvary_step10_batch_yyy06.pl,u5,n,0.93
exp_acyclic_depvary_step10_batch_yyy06.pl,y2,y,1.36
exp_acyclic_depvary_step10_batch_yyy06.pl,x1,n,1.47
exp_acyclic_depvary_step10_batch_yyy06.pl,z1,n,1.04
exp_acyclic_depvary_step10_batch_yyy06.pl,b3,y,1.21
exp_acyclic_depvary_step10_batch_yyy06.pl,e5,y,1.28
exp_acyclic_depvary_step10_batch_yyy06.pl,w1,y,1.38
exp_cycles_depvary_step4_batch_yyy10.pl,b2,n,1.17
exp_cycles_depvary_step4_batch_yyy10.pl,b1,n,1.09
exp_cycles_depvary_step4_batch_yyy10.pl,r3,n,0.81
exp_cycles_depvary_step4_batch_yyy10.pl,r1,y,0.98
exp_cycles_depvary_step4_batch_yyy10.pl,y2,n,1.21
